id_votante;id_centro
832;29
833;9
834;28
835;4
836;8
837;30
838;30
839;30
840;1
841;12
842;9
843;1
844;20
845;9
846;27
847;10
848;9
849;22
850;9
851;14
852;9
853;8
854;9
855;9
856;24
857;12
858;3
859;29
860;9
861;8
862;9
863;1
864;8
865;4
866;3
867;8
868;4
869;4
870;20
871;7
872;9
873;28
874;12
875;9
876;1
877;9
878;1
879;10
880;25
881;3
882;15
883;15
884;1
885;9
886;4
887;20
888;18
889;1
890;14
891;8
892;9
893;3
894;20
895;9
896;29
897;25
898;10
899;27
900;8
901;27
902;4
903;9
904;9
905;9
906;28
907;8
908;25
909;16
910;29
911;20
912;1
913;9
914;8
915;14
916;8
917;4
918;3
919;18
920;9
921;9
922;9
923;20
924;3
925;9
926;10
927;9
928;3
929;1
930;12
931;14
932;16
933;30
934;7
935;4
936;9
937;9
938;4
939;25
940;14
941;1
942;27
943;15
944;20
945;3
946;20
947;16
948;8
949;9
950;14
951;28
952;9
953;9
954;9
955;20
956;9
957;16
958;8
959;4
960;20
961;8
962;8
963;7
964;16
965;1
966;16
967;16
968;9
969;8
970;3
971;16
972;28
973;8
974;28
975;27
976;7
977;1
978;1
979;1
980;9
981;3
982;8
983;12
984;9
985;28
986;18
987;1
988;20
989;18
990;9
991;12
992;14
993;14
994;9
995;9
996;28
997;15
998;1
999;18
1000;3
1001;8
1002;9
1003;1
1004;8
1005;3
1006;9
1007;9
1008;16
1009;9
1010;8
1011;16
1012;9
1013;25
1014;30
1015;27
1016;4
1017;1
1018;24
1019;3
1020;15
1021;8
1022;8
1023;10
1024;9
1025;1
1026;29
1027;28
1028;3
1029;9
1030;9
1031;8
1032;9
1033;10
1034;9
1035;24
1036;18
1037;8
1038;20
1039;9
1040;9
1041;22
1042;14
1043;9
1044;3
1045;20
1046;10
1047;8
1048;3
1049;8
1050;10
1051;24
1052;9
1053;27
1054;27
1055;24
1056;18
1057;9
1058;9
1059;8
1060;28
1061;12
1062;14
1063;8
1064;1
1065;9
1066;9
1067;16
1068;14
1069;24
1070;28
1071;9
1072;18
1073;9
1074;9
1075;29
1076;9
1077;10
1078;3
1079;4
1080;9
1081;10
1082;8
1083;30
1084;1
1085;8
1086;9
1087;9
1088;9
1089;9
1090;1
1091;27
1092;3
1093;8
1094;12
1095;8
1096;1
1097;18
1098;9
1099;24
1100;8
1101;14
1102;3
1103;9
1104;16
1105;18
1106;10
1107;9
1108;30
1109;9
1110;22
1111;9
1112;14
1113;25
1114;28
1115;16
1116;25
1117;22
1118;3
1119;3
1120;9
1121;14
1122;3
1123;15
1124;9
1125;1
1126;20
1127;22
1128;3
1129;3
1130;30
1131;27
1132;9
1133;24
1134;9
