id_votante;id_centro
1;20
2;18
3;14
4;25
5;9
6;9
7;10
8;25
9;30
10;27
11;3
12;4
13;24
14;9
15;9
16;16
17;1
18;8
19;12
20;12
21;3
22;3
23;3
24;9
25;9
26;16
27;20
28;12
29;10
30;9
31;9
32;1
33;28
34;12
35;9
36;20
37;29
38;9
39;3
40;4
41;8
42;20
43;20
44;9
45;8
46;9
47;9
48;1
49;9
50;9
51;16
52;9
53;9
54;8
55;12
56;4
57;10
58;4
59;20
60;3
61;9
62;1
63;7
64;9
65;9
66;8
67;16
68;9
69;8
70;8
71;3
72;15
73;14
74;9
75;9
76;25
77;22
78;16
79;27
80;9
81;25
82;28
83;15
84;16
85;9
86;20
87;1
88;9
89;28
90;28
91;28
92;9
93;9
94;9
95;9
96;9
97;14
98;12
99;9
100;9
101;24
102;9
103;22
104;22
105;14
106;22
107;3
108;14
109;14
110;14
111;12
112;10
113;20
114;29
115;15
116;9
117;20
118;4
119;1
120;28
121;8
122;30
123;7
124;18
125;9
126;20
127;9
128;9
129;1
130;20
131;14
132;14
133;7
134;8
135;29
136;3
137;9
138;14
139;9
140;15
141;22
142;3
143;9
144;8
145;4
146;30
147;9
148;8
149;9
150;9
151;12
152;8
153;14
154;9
155;14
156;16
157;27
158;20
159;7
160;9
161;9
162;1
163;8
164;30
165;29
166;9
167;8
168;30
169;9
170;1
171;30
172;16
173;8
174;30
175;14
176;9
177;25
178;9
179;9
180;29
181;15
182;24
183;14
184;10
185;12
186;1
187;3
188;3
189;8
190;9
191;15
192;1
193;14
194;9
195;1
196;4
197;14
198;14
199;14
200;16
201;22
202;9
203;14
204;14
205;9
206;18
207;29
208;25
209;1
210;10
211;9
212;20
213;15
214;28
215;24
216;4
217;16
218;16
219;25
220;27
221;9
222;9
223;25
224;9
225;15
226;27
227;9
228;9
229;4
230;30
231;3
232;1
233;27
234;12
235;9
236;16
237;28
238;14
239;22
240;1
241;9
242;8
243;9
244;9
245;14
246;9
247;8
248;4
249;8
250;7
251;22
252;28
253;9
254;1
255;24
256;12
257;8
258;9
259;18
260;9
261;15
262;16
263;3
264;28
265;24
266;9
267;1
268;22
269;30
270;24
271;29
272;9
273;28
274;8
275;18
276;9
277;9
278;16
279;14
280;3
281;8
282;27
283;10
284;9
285;30
286;28
287;8
288;15
289;1
290;12
291;7
292;24
293;1
294;14
295;9
296;28
297;25
298;8
299;12
300;7
301;15
302;8
303;12
304;28
305;1
306;7
307;27
308;9
309;4
310;25
311;10
312;25
313;20
314;9
315;9
316;7
317;28
318;7
319;9
320;1
321;9
322;20
323;3
324;20
325;15
326;20
327;9
328;18
329;14
330;8
331;16
332;10
333;14
334;9
335;9
336;9
337;9
338;25
339;9
340;9
341;16
342;18
343;9
344;18
345;14
346;9
347;9
348;7
349;16
350;9
351;22
352;15
353;9
354;14
355;8
356;8
357;9
358;9
359;9
360;10
361;8
362;9
363;29
364;9
365;22
366;9
367;9
368;8
369;18
370;7
371;15
372;8
373;8
374;8
375;3
376;28
377;1
378;18
379;9
380;1
381;15
382;4
383;3
384;3
385;27
386;29
387;9
388;24
389;29
390;9
391;14
392;16
393;9
394;9
395;7
396;20
397;4
398;8
399;9
400;9
401;30
402;9
403;9
404;22
405;18
406;8
407;3
408;9
409;9
410;12
411;9
412;24
413;1
414;9
415;9
416;3
417;28
418;9
419;16
420;9
421;30
422;27
423;24
424;29
425;9
426;9
427;27
428;9
429;9
430;9
431;16
432;28
433;20
434;4
435;3
436;9
437;20
438;3
439;3
440;29
441;3
442;9
443;3
444;9
445;8
446;9
447;1
448;9
449;1
450;8
451;3
452;9
453;1
454;8
455;7
456;14
457;9
458;15
459;9
460;10
461;10
462;18
463;1
464;3
465;12
466;15
467;24
468;30
469;14
470;9
471;3
472;22
473;15
474;1
475;1
476;9
477;9
478;14
479;1
480;29
481;8
482;25
483;9
484;15
485;4
486;8
487;9
488;16
489;9
490;9
491;27
492;30
493;20
494;30
495;3
496;9
497;1
498;8
499;9
500;22
501;14
502;22
503;1
504;8
505;9
506;14
507;3
508;28
509;30
510;8
511;29
512;20
513;1
514;4
515;29
516;1
517;3
518;14
519;7
520;1
521;4
522;8
523;16
524;25
525;16
526;9
527;8
528;14
529;15
530;29
531;14
532;15
533;15
534;28
535;3
536;8
537;20
538;16
539;1
540;9
541;9
542;1
543;28
544;30
545;9
546;28
547;9
548;14
549;9
550;3
551;28
552;14
553;22
554;25
555;27
556;7
557;15
558;27
559;25
560;9
561;15
562;9
563;1
564;9
565;25
566;9
567;12
568;10
569;14
570;15
571;10
572;3
573;27
574;1
575;9
576;8
577;8
578;22
579;25
580;9
581;9
582;9
583;3
584;14
585;7
586;9
587;9
588;4
589;9
590;3
591;18
592;1
593;29
594;20
595;1
596;8
597;9
598;9
599;9
600;1
601;14
602;25
603;12
604;9
605;9
606;9
607;1
608;18
609;28
610;3
611;8
612;9
613;9
614;28
615;22
616;28
617;16
618;1
619;8
620;30
621;22
622;9
623;22
624;8
625;1
626;9
627;9
628;3
629;24
630;24
631;9
632;9
633;9
634;25
635;8
636;9
637;28
638;18
639;9
640;24
641;15
642;3
643;29
644;9
645;29
646;14
647;1
648;1
649;28
650;1
651;4
652;27
653;9
654;9
655;14
656;9
657;12
658;3
659;30
660;1
661;16
662;28
663;9
664;29
665;24
666;20
667;7
668;7
669;4
670;4
671;20
672;3
673;8
674;14
675;9
676;7
677;15
678;8
679;10
680;25
681;9
682;12
683;28
684;20
685;9
686;1
687;9
688;9
689;8
690;9
691;9
692;8
693;3
694;9
695;9
696;12
697;9
698;9
699;3
700;20
701;14
702;1
703;9
704;8
705;14
706;27
707;29
708;8
709;16
710;22
711;9
712;4
713;14
714;4
715;9
716;24
717;14
718;9
719;9
720;27
721;7
722;18
723;12
724;9
725;29
726;9
727;18
728;25
729;9
730;7
731;9
732;27
733;9
734;9
735;28
736;4
737;10
738;22
739;24
740;15
741;9
742;10
743;8
744;30
745;8
746;7
747;3
748;10
749;29
750;8
751;30
752;30
753;9
754;7
755;24
756;1
757;29
758;16
759;14
760;24
761;3
762;20
763;16
764;3
765;8
766;9
767;22
768;10
769;3
770;14
771;7
772;18
773;3
774;15
775;12
776;15
777;9
778;1
779;9
780;9
781;22
782;3
783;8
784;16
785;4
786;9
787;9
788;8
789;9
790;9
791;9
792;28
793;8
794;4
795;1
796;28
797;9
798;8
799;8
800;9
801;9
802;18
803;3
804;15
805;4
806;9
807;25
808;16
809;28
810;14
811;27
812;9
813;1
814;28
815;16
816;4
817;7
818;9
819;9
820;1
821;1
822;9
823;9
824;22
825;8
826;24
827;18
828;24
829;9
830;1
831;9
